,Date,Time,Category,Sub-Category,Headline,Entire_News,Author,News_Link
10,"April 9, 2022",15:47 IST,India, ,Attack at Sharad Pawar’s house a political conspiracy: Shiv Sena MP Sanjay Raut,"Shiv Sena leader Sanjay Raut on Saturday alleged that the attack at the NCP supremo Sharad Pawar’s residence on April 8 by angry protestors was a part of a political conspiracy and the people who staged the protest had the backing of some political parties.“The attack at Sharad Pawar’s place wasn’t a protest strike, it was a conspiracy. They can’t call themselves ST employees at all,” said Raut.READ | Bombay HC protects employees of MSRTC, corporation to hold criminal prosecutionSanjay Raut further added that such an incident had never happened in the state before. “What happened was very unfortunate. It has never happened before and should never happen in the future either. This isn’t the culture of MaharashtraThis was an attempt to disturb the peace of the state and Mumbai police and the state government will deal with it now,” said Raut.When asked about the people who were backing the agitation, Raut said that some political parties have been giving support to such elements. “But these parties should remember that feeding such demons will result in the demons eating them one day too. People should realise that they too stay in glass houses,” he said.Sharad Pawar has said that the employees of the Maharashtra State Road Transport Corporation (MSRTC) were being misguided and that the leadership was immature.Advocate Gunratna Sadavarte has been arrested by police in relation to the case.Over 100 MSRTC workers protested outside Nationalist Congress Party (NCP) chief Sharad Pawar's residence in Mumbai on Friday, shouting slogans against the veteran politician, accusing him of not taking any action to resolve their issues. The protests later turned violent.The workers outside 'Silver Oak' - Pawar’s residence in south Mumbai - tried to break through the security barricades. Some sat on the road outside Silver Oak despite heavy police deployment while a few threw their shoes at the politician’s house.The incident has come as a shocker for the MVA government and the police have been charged with intelligence failure. While all the parties, including the BJP, have condemned the episode, the state government has ordered a probe into the incident.The employees of one of the largest inter-city bus systems in the country have been on strike since October 2021 seeking that they be treated at par with the state government employees and that MSRTC be merged with the state government, amongst other demands.",Pankaj Upadhyay,https://www.indiatoday.in/india/story/attack-sharad-pawar-house-political-conspiracy-shiv-sena-mp-sanjay-raut-ncp-msrtc-1935459-2022-04-09
11,"April 9, 2022",15:07 IST,India, ,Goa CM inducts three more ministers; Sudin Dhavalikar figures in list,"Goa Chief Minister Pramod Sawant, on Saturday, expanded his cabinet by inducting three more MLAs as ministers, including Sudin Dhavalikar, who belongs to the Maharashtrawadi Gomantak Party (MGP).Goa Governor P S Sreedharan Pillai administered the oath of office to the three new ministers.Apart from Dhavalikar of the MGP, two BJP MLAs - Nilkant Halarnkar and Subhash Faldesai - took oath.The swearing-in ceremony was held at the Raj Bhavan. Chief Minister Dr Pramod Sawant was present along with other members of the cabinet.Sawant had taken oath as the chief minister along with eight other ministers on March 28 in the presence of Prime Minister Narendra Modi, leaving three ministerial berths vacant at that time. With the addition of three, there are now 12 members in his cabinet, including Sawant himself.Dhavalikar was a minister in the Manohar Parrikar-led as well as Sawant-led governments between 2017 till 2019 before he was dropped from the cabinet ahead of the last Lok Sabha polls.Halarnkar was minister in the erstwhile Congress-led government and had shifted his political affiliation to the BJP in 2019 along with nine other MLAs. Faldesai became a minister for the first time.In the recently concluded elections in Goa, the BJP won 20 seats, one short of the majority in the 40-member House. Three independent MLAs and two legislators of the MGP extended their support to the BJP.Also Read: Hurts India’s unity: Tamil Nadu CM MK Stalin on Amit Shah's 'Hindi over English' remark",Press Trust of India,https://www.indiatoday.in/india/story/goa-cm-inducts-three-more-ministers-sudin-dhavalikar-figures-in-list-1935450-2022-04-09
12,"April 9, 2022",14:54 IST,India, ,Tamil Nadu CM MK Stalin arrives at Kannur to attend CPM party congress,"DMK leader and Tamil Nadu Chief Minister MK Stalin arrived in Kannur on Saturday, April 9, to attend a seminar to be held as part of the 23rd CPM party congress.Stalin is currently at the forefront of the anti-BJP forces in the country. His arrival at the party congress enthused delegates. Stalin is the chief guest at the seminar on the 'Centre-State relationship’, which is scheduled for Saturday evening. Kerala Chief Minister Pinarayi Vijayan will inaugurate the seminar at 5 pm today.It is noteworthy that CPM general secretary, Sitaram Yechury, had pointed out that Stalin was the man most suited to lead the anti-BJP forces.The seminar, attended by the Tamil Nadu CM, is already creating quite a buzz as it will also be attended by veteran congress leader KV Thomas, who is taking part despite the Congress high command’s directive that prohibited Congress members from participating in it.Also Read: Hurts India’s unity: Tamil Nadu CM MK Stalin on Amit Shah's 'Hindi over English' remarkAlso Read: CPM decides to not ally with Congress at national level; state-level units to make their own decision",Rickson Oommen,https://www.indiatoday.in/india/story/tamil-nadu-cm-mk-stalin-arrives-at-kannur-to-attend-cpm-party-congress-1935445-2022-04-09
13,"April 9, 2022",14:44 IST,India, ,CPM decides to not ally with Congress at national level; state-level units to make their own decision,"The Communist Party of India (Marxist) (CPM) has given much-needed clarity on the possibility of an alliance with the Congress party at the national level. Agreeing to the view of majority party members, the CPM has decided not to have any kind of tie-up with the Indian National Congress.Meanwhile, the CPM has also allowed the state level units to make a decision on the regional level understanding necessary, based on the political situation in the state. The political resolution agreeing to the same was passed at the party congress in Kerala’s Kannur.The Kerala CPM, in particular, has been opposing any kind of alliance with the Congress, while the Bengal unit has been taking a more lenient approach.The party’s general secretary, Sitaram Yechury, had called for a secular alliance against the BJP in the inaugural speech. He also urged the Congress to make its stand clear on secularism. However, things took a turn when Yechury, on Thursday, lashed out at the Congress for refusing to allow its leaders to attend the CPM seminar.The Indian National Congress had issued a firm directive to its leaders including Shashi Tharoor, Ramesh Chennithala and KV Thomas to not attend a seminar held as part of the party congress.Later, the veteran congress leader KV Thomas had attended the seminar saying no to the party orders, causing a headache for the AICC.While Sitaram Yechury’s and Prakash Karat’s factions had taken sides last time around as to whether or not there should be an alliance with the Congress at the national level, this time, save for a few delegates and some who refrained from voting, others were in favour.",Rickson Oommen,https://www.indiatoday.in/india/story/cpm-decides-to-not-ally-with-congress-at-national-level-state-level-units-to-make-their-own-decision-1935439-2022-04-09
14,"April 9, 2022",14:50 IST,India, ,Hurts India’s unity: Tamil Nadu CM MK Stalin on Amit Shah's 'Hindi over English' remark,"Tamil Nadu Chief Minister MK Stalin has criticised Home Minister Amit Shah's remark in which he said Hindi should be accepted as an alternative to English and not to local languages. The Tamil Nadu CM said this would hurt India's unity.Taking to Twitter, Stalin wrote, ""The Home Minister says to speak in Hindi instead of English and this is hurting India’s unity. Does the Home Minister only think that Hindi (speaking) states are enough? A single language will not help in unity."" He said the BIP was repeating the same mistake and claimed they will not succeed."" "" @AmitShah !. (1/2)#StopHindiImpositionHindi should be accepted as an alternative to English and not to local languages, Union Home minister Amit Shah said on Friday. He made the remarks during the 37th meeting of the Parliamentary Official Language Committee in New Delhi.READ: We don’t oppose Hindi, we oppose Hindi imposition, says Tamil Nadu CM StalinAs per a statement issued by the Press Information Bureau (PIB), the Union Home minister suggested to the committee that it is time to carry out a revision of the Hindi dictionary. He even mentioned that 70 per cent of the Union Cabinet's agenda is now prepared in Hindi.Amit Shah also stressed the need for ""elementary knowledge of Hindi for students up to 9th class"" and ""more attention to Hindi teaching examinations"".""Time has come to make the Official Language an important part of the unity of the country. When people from states which speak other languages communicate with each other, it should be in the language of India.""Unless we make Hindi flexible by accepting words from other local languages, it will not be promoted,"" Amit Shah said.",Pramod Madhav,https://www.indiatoday.in/india/story/india-unity-tamil-nadu-cm-mk-stalin-amit-shah-hindi-over-english-remark-1935441-2022-04-09
15,"April 9, 2022",14:31 IST,India, ,Karnataka: Section 144 imposed in Mulbagal city after miscreants pelt stones at Shobha yatra,"Miscreants in Karnataka’s Mulbagal city allegedly pelted stones during the Shobha yatra being taken out in the city on Saturday. As a result, section 144 has been imposed in the town for the next 48 hours.Police have said that the situation has been brought under control and three people have been arrested in connection with the issue. A total of nine people have been detained for questioning and three FIRS have been registered.Two bikes and one car were also torched while an automobile shop was pelted with stones.Also Read: Family of four killed in AC explosion in Karnataka's Vijayanagara district",Nagarjun Dwarakanath,https://www.indiatoday.in/india/story/karnataka-section-144-imposed-in-mulbagal-city-after-miscreants-pelt-stones-at-shobha-yatra-1935433-2022-04-09
16,"April 9, 2022",14:14 IST,India, ,Uphill task for AAP in Himachal as state party president Anup Kesari joins BJP,"Himachal's Aam Admi Party (AAP) chief Anup Kesari, General Secretary Satish Thakur and Una district chief, Iqbal Singh, joined the BJP in Delhi.Anup Kesari is an advocate by profession and belongs to Una. He joined AAP in 2013- 14 and was made the party president in December 2020.The BJP's show of strength in Shimla took place on Saturday, where the party's national chief, Jagat Prakash Nadda, took part in a road show. It is being viewed as part of the party's strategy to counter AAP. The BJP and Congress leadership have already downplayed the AAP impact in this hill state.Desperate to return to power, the Congress leadership in Himachal has also been confirmed to pull its socks after the AAP started poaching its leaders. A former youth Congress chief Manish Thakur has already joined the party. Two Mandi Congress leaders joined the party on Wednesday.Also Read: Ajit Pawar says mastermind behind 'attack' on Sharad Pawar's home will be exposedThe matter is also being discussed at the Congress high command level. AICC President Sonia Gandhi has directed the state leadership to stop the mass exodus of the party's young leaders.The state Congress accordingly launched damage control after many of its leaders joined the Aam Aadmi Party. The two leaders, including the youngest Panchayat President of the country, Kabna Chauhan and Rajnish Soni, who joined AAP during the presence of Arvind Kejriwal, have now been offered the roles of Mandi district Congress vice president and general secretary posts respectively.Both leaders have, however, claimed that they are still primary members of the Aam Aadmi Party.AAP leaders claim that it has made three lakh party members in Himachal. However, the recent developments point out that breaking the decade-old tradition of not letting any party repeat the government besides attracting the people of this state will be an uphill task for AAP, which lacks a credible state domicile face.""These people (BJP) are not afraid of me but the people. Dear BJP leaders, there was no need to replace the chief minister and to touch the feet of tainted leaders of other parties had you walked honestly for the people. People are trusting AAP, which will give an honest and patriotic government to Himachal,” Arvind Kejriwal said in a tweet on Saturday.Interestingly, Arvind Kejriwal used the word 'patriotic government' in his tweets after the BJP leaders accused AAP of hobnobbing with Khalistani elements.The development comes after Himachal refused entry to Punjab vehicles carrying the stickers of Khalistani flags and photos of Jarnail Singh Bhindranwale. Congress also organised a Tiranga Yatra in Shimla to oppose AAP's entry.The state-based psephologists are also of the opinion that the state has less floating vote share as compared to neighbouring Punjab. The attempts made by the leaders to raise a third front in the past did not bear fruit .""The AAP may prove a spoilsport by poaching Congress leaders and punching holes in its vote share, but that will benefit the BJP. It will not be a cakewalk for AAP to apply the Punjab strategy in Himachal, where the issues are entirely different and corruption is not as rampant as in Punjab,"" an election analyst told India Today.Also Read: FIR against ES Eshwarappa, BJP leader Channabasappa for provocative speechAlso Read: 107 state transport workers detained for protests outside Sharad Pawar's house",Manjeet Sehgal,https://www.indiatoday.in/india/story/uphill-task-for-aap-in-himachal-as-state-party-president-anup-kesari-joins-bjp-1935420-2022-04-09
17,"April 9, 2022",13:17 IST,India, ,'Arrest Bajrang Muni' trends on Twitter after Sitapur hate speech video goes viral ,"In a video that has gone viral on social media, a religious leader, Mahant Bajrang Muni, can purportedly be heard threatening to kidnap and rape women of a particular community while addressing a gathering in Sitapur district in Uttar Pradesh.The video has sparked outrage on social media. The hashtag '#ArrestBajrangMuni' is trending on Twitter after several users took to the internet to demand that the seer be arrested.The National Commission for Women also issued a strong statement on the incident and sought the arrest of the religious leader.Arrest Bajrang Muni#ArrestBajrangMuni pic.twitter.com/TvqPP1W1C4Meanwhile, the police have lodged an FIR and ordered a probe into the matter.In the video, Bajrang Muni can be seen addressing a gathering from inside a vehicle. The video was shot on April 2.Speaking into a microphone, he can be heard saying in Hindi, “If a man of your community harasses any girl in the area, I will pick up your daughters from your homes and rape them.”His statement was met with cheers from the crowd.",India Today Web Desk,https://www.indiatoday.in/india/story/arrest-bajrang-muni-trend-twitter-sitapur-hate-speech-video-1935417-2022-04-09
18,"April 9, 2022",12:48 IST,India, ,Indian Army to use lessons from Russia-Ukraine war in designing battle tanks for future,"The Indian Army is working to incorporate lessons from the ongoing Russia-Ukraine war while designing battle tanks for the future.In the Russia-Ukraine war, which began on February 24, anti-tank missiles have achieved significant success against armoured units. Ukraine’s Western allies have been supplying it with anti-tank and anti-aircraft equipment to use against Russia’s tanks and helicopters during the war.Examining the use of these will be useful to strengthen the design of Indian battle tanks and provide them more protection, top government sources told India Today.India uses tanks and equipment similar to those being used by the Russian army. The Indian Army is one of the biggest users of Russian armour including the T-90, T-72 and BMP-series infantry combat vehicles.",Manjeet Negi,https://www.indiatoday.in/india/story/indian-army-russia-ukraine-war-design-battle-tanks-1935408-2022-04-09
19,"April 9, 2022",16:08 IST,India, ,Family of Indian student shot dead in Toronto allege no assistance by government,"The family of a 21-year old Indian student in Toronto who succumbed to his injuries after sustaining multiple gunshot wounds alleged that no assistance had been provided by the Canadian or Indian governments even 48 hours after the incident.The family also demanded a fast-track visa process so that they can travel to Canada as they suspect officials trying to notch up the case.The father of Kartik Vasudev alleged he had responded to the tweet of Jaishankar confirming the incident, but ""no one from the Indian government has reached out to them.""Meanwhile, External Affairs Minister S Jaishankar expressed grief at the killing of 21-year old Kartik.The Toronto Police Service said that on the evening of April 7, police responded to a radio call at a local subway station about a shooting.The victim, identified as Kartik Vasudev, had been shot at the entrance of the subway station in Toronto.External Affairs Minister S Jaishankar tweeted that he was grieved by the tragic incident of the death of an Indian student in Toronto who was succumbed to his injuries after he as shot.Vasudev, who suffered multiple gunshot wounds, received medical attention from an off-duty paramedic and was taken to a hospital where he succumbed to his injuries, police said.“Grieved by this tragic incident. Deepest condolences to the family,” External Affairs Minister S Jaishankar tweeted.Toronto Police said investigators are looking for witnesses who were in the area at the time, as well as any driver or business installation with camera footage.The Consulate General of India in Toronto said in a tweet that “we are shocked and distressed at the unfortunate killing of Indian student Kartik Vasudev in a shooting incident in Toronto” on Thursday.“We are in touch with the family and will provide all possible assistance in the early repatriation of mortal remains.”Kartik Vasudev left for Canada in January this year to pursue his studies. He was shot dead on his way to work at a Mexican restaurant in Canada’s Toronto.He last spoke with his parents on Thursday, after which he headed for work, which he joined two weeks back as a part-time job.On April 8, the Toronto Police in its news release shared that Kartik’s murder was the 19th case of homicide in the city this year. The Police there have requested eyewitnesses to help them investigate the matter. However, certain news reports from Toronto suggest the incident was the outcome of an attempted robbery. The police are yet to nab the accused.Speaking to India Today, Kartik’s mother said, “It was my son’s dream to study in Canada. We took a loan, mortgaged our property, and sent him to fulfil his dream. He wanted to go to Canada because he found it to be a safer place. Is this what happens in a safe place?”The Indian consulate in Toronto rang the family stating it would take six days to send his body to India. The other communication the family received was from Toronto Police seeking permission from the family for the press to use Kartik’s photograph.(With PTI inputs)",Sreya Chatterjee,https://www.indiatoday.in/india/story/indian-student-shot-dead-toronto-eam-jaishankar-expresses-condolences-1935405-2022-04-09
